customer_id,salary_deposits,total_expenses,month
4623,6583,12049,Sep
6283,14074,13374,Feb
5611,12306,11689,Oct
6070,12328,759,May
4256,7254,2418,Sep
5661,8345,7004,Mar
7225,8571,6018,May
4043,9083,7103,Aug
7453,7298,8675,Feb
4443,2078,10478,Jun
6678,7652,7752,Nov
7177,2377,7730,Apr
6687,2164,599,Dec
4905,9967,4405,Dec
5714,11912,2842,Jun
4878,13176,8591,Mar
3791,7941,3733,Jun
3225,10346,5524,Jul
6035,3146,11941,Oct
7876,11255,827,Mar
7233,4216,10043,May
3226,13031,11503,Dec
6406,7449,13853,Aug
6180,3463,2789,Feb
3812,5470,1865,Jul
5493,3516,11854,Jan
7103,13242,11791,Jul
7224,6423,13246,Jan
7067,3526,12394,Apr
7363,13802,1908,Apr
7310,12584,10202,Dec
3247,2788,719,May
4619,8520,13646,Feb
4828,9421,6907,Dec
6446,8577,10860,Nov
3421,4548,11878,Dec
5765,9252,3739,Jun
4372,14849,13222,Jun
7239,6608,1769,Aug
5189,10707,8042,Oct
5613,8640,13067,Dec
5081,8745,4317,Jan
7325,5062,7689,Apr
5736,7281,7357,Dec
3830,6762,567,Feb
6059,11759,10363,Nov
3850,11640,9434,Aug
5781,2966,7725,Dec
4154,8076,5883,Apr
7941,7694,2512,Aug
6830,10555,10397,Feb
5683,2107,10138,Apr
6080,9181,3569,Dec
3403,13286,8166,Sep
5976,10814,790,May
4603,6416,6812,Jun
7723,2509,8227,Oct
3981,8815,4179,Dec
5295,11256,4410,Sep
5385,5865,5151,Sep
6353,10495,852,Jul
7129,11160,1763,Nov
3799,11630,2326,Feb
5596,13713,4878,Jul
4367,5871,2105,Sep
5939,7513,12528,Feb
4263,8508,3898,Jul
5777,9164,5051,Dec
6249,5500,3506,Jul
3304,4199,1504,Mar
4694,14546,6467,Jun
5317,5901,6928,Aug
7496,9758,2578,Oct
3922,8070,2995,Aug
3421,4270,2761,Mar
5179,7385,12456,Jun
6810,2229,2237,Feb
4167,4486,3596,Feb
7674,10341,8427,Aug
3540,2909,2944,Nov
6500,13720,836,Oct
4461,2977,3483,May
7688,2634,9659,May
7740,7989,7498,Nov
3328,6717,5498,Apr
5860,4190,9363,Nov
5094,7189,9995,Oct
5132,14341,13556,Apr
5842,6939,11362,Aug
3352,9081,11298,Mar
7733,5474,8687,Nov
6909,8695,10406,Mar
3234,13972,3095,Aug
6123,9194,3470,Mar
7877,3865,3769,Dec
5729,2298,11293,Feb
3933,4739,978,Nov
4824,8701,1343,May
6501,5725,2125,Nov
7074,13583,2380,Mar
6346,6540,12343,Jun
3861,10289,10809,Nov
4231,13389,9196,Jul
5196,12297,8801,Mar
7396,14464,10097,Sep
4477,6814,4992,Oct
5024,8134,3980,Jan
5597,5522,9042,Jul
5431,6418,10249,Apr
6690,8818,3542,Jul
3534,10124,3336,Sep
4257,10162,8578,Sep
4658,7489,8374,Jan
4153,8085,7064,Oct
6894,11037,4128,Dec
4753,6185,5517,Apr
4684,6226,10733,Jul
5979,10096,8802,Oct
7333,5881,12996,Jun
6654,9692,10457,Sep
6014,11244,8106,Jul
3701,14040,1701,Mar
7671,5615,11670,Jul
6065,8805,11164,Oct
7867,5157,11067,May
4765,4105,6503,Feb
7319,7176,510,Oct
4123,2993,13643,Mar
6831,5096,10993,Jun
5959,2189,10281,Jun
5321,12315,2001,Jul
4423,12610,8820,Jun
4541,4898,8405,Sep
7526,7856,4103,May
3523,14793,4695,May
6008,12158,789,Aug
5499,14470,6188,Aug
5090,6249,7893,Jan
4739,7388,10368,Mar
7190,9046,13936,Jun
5534,5411,8105,Jun
5565,14138,10536,Jan
5765,11238,12327,Feb
3499,12765,3193,Oct
5419,2605,10519,Jul
5747,3366,13452,Jan
3485,13118,10062,Oct
3665,8482,13485,May
6455,12150,12514,Jan
3628,11256,8874,Jun
4685,7795,850,Jul
3732,2517,4086,Aug
7288,12646,6415,Dec
4245,14425,10093,Mar
5175,7218,11447,Mar
6875,5807,6084,Nov
5775,7435,13465,Jan
6079,12781,3349,Dec
7792,4272,4935,Mar
4140,4308,11904,May
7660,11294,12898,Jun
6118,6792,6904,Mar
5441,2810,12659,Apr
7119,13955,13999,May
6203,14760,4427,May
6199,10268,7014,Sep
7541,4309,12121,Aug
7873,9908,7940,Jan
5045,11217,6316,Feb
3708,12256,7092,Dec
3433,6439,6325,May
3473,12933,3988,Dec
3048,8389,2395,Mar
4915,14191,3408,Jul
4106,13420,1911,Nov
6181,14461,5957,Jun
4891,5558,12074,Feb
3358,10008,10635,Aug
3568,2845,4499,May
3480,10884,5948,Jun
3867,14240,11810,Aug
6261,3332,9347,Jun
7060,13229,6792,Oct
4029,14524,9041,Mar
6358,8300,7508,Jul
4814,3274,12690,Apr
6729,9166,1643,Jun
6527,11436,13792,Jun
7804,2337,897,Nov
4051,5294,1145,May
3127,2336,13200,Jan
6607,3867,8106,Aug
5379,14197,4632,Oct
4653,8914,2734,Feb
3008,2494,13207,Apr
7709,6642,11464,Dec
4285,5886,10175,Mar
7694,10352,10926,Jun
7482,4036,13889,Nov
3179,11933,10675,Jan
6596,11699,2462,Sep
7911,7083,1309,May
6818,5560,6973,May
6255,11567,11888,Apr
7454,11745,7983,Apr
5424,4281,13745,Jan
7798,12060,4915,Sep
4751,3601,7118,Sep
7878,14019,9205,Apr
7178,13672,9025,Oct
6430,3299,13882,Oct
3185,10902,11204,Apr
5336,6167,12787,Dec
6134,4046,5319,Jul
7979,4881,507,Apr
3507,7474,6315,Jan
7126,3817,10695,Nov
4933,4198,12951,Sep
4197,5332,8632,Feb
6686,3103,13568,May
7182,5177,5914,Apr
4339,13786,10820,Aug
5621,13666,9990,Jun
3683,6815,13708,Jul
6515,4177,3446,Feb
7368,3194,6236,Apr
5161,6501,2344,Apr
4730,8041,4111,Dec
4418,10727,8059,Feb
7015,9060,8684,Oct
3019,11261,6186,Apr
5653,14561,3565,Sep
6801,10324,9794,Aug
3465,2263,1179,Nov
3691,6462,7690,Jan
4011,8968,5847,Aug
6062,4052,13225,Nov
7021,6946,12061,Sep
3163,7825,4547,Aug
4636,8044,13733,Oct
5747,6089,11515,Jan
3295,13039,509,Aug
3579,2357,12945,Dec
4586,7505,11523,May
6381,6420,13969,Sep
5350,10942,6963,Sep
5172,5250,12639,Jun
3195,14543,5821,Mar
3842,8562,4716,Dec
7008,4258,10878,Jul
7585,11102,9365,Mar
5932,5810,8234,Jul
3446,2583,8006,Aug
3080,5438,10719,May
7841,10768,1956,May
5746,8357,543,Apr
6689,12768,7826,Mar
4861,12063,13603,Dec
3931,11344,12885,Aug
4935,8146,12301,Nov
7368,6990,10586,Jun
5172,3783,12473,Jun
6295,3093,8276,Feb
7782,12291,10978,Apr
7748,6532,5070,May
7393,7117,3071,Nov
5835,9938,10107,Oct
7717,12333,8700,May
4655,8746,6132,Mar
5929,4133,2362,Oct
6604,10709,1733,May
4673,10933,3625,May
7351,8120,5211,Feb
4288,4477,2957,May
5727,6958,8701,Mar
7125,8137,11696,Mar
4059,4876,13339,May
7845,2042,7199,Sep
3602,7829,13667,Feb
6275,5441,8959,Sep
5979,10595,7657,Mar
3131,11518,12553,Dec
3111,12408,3214,Jul
5572,8346,5046,Dec
6360,8849,11333,Jan
5735,8686,7864,Jan
3831,12341,7719,Aug
3666,12585,12498,Sep
4067,4650,8136,Mar
7971,14729,10083,Jun
6789,6345,8041,Mar
4318,2877,9774,Jun
3285,3886,8985,Jul
7660,3303,12771,May
7115,3740,3335,Mar
6579,3112,8513,Aug
7643,5876,8455,May
3048,8040,13739,Jan
4769,9452,13656,Dec
7315,12090,4705,Sep
7862,8118,2654,Mar
6260,10439,5608,Feb
5079,8795,11036,Mar
5307,9044,4423,Jul
6416,13452,10546,Dec
7404,2567,6584,Nov
6143,14001,7762,Dec
3568,7958,4368,Oct
7327,11380,4290,Aug
7066,12787,11724,Feb
3082,3353,9536,Jul
6006,13804,10399,Nov
3217,7029,2507,May
3335,11172,1773,Sep
3559,6965,7373,Jul
5912,2168,13126,Jan
3874,9712,10796,Jan
3753,13356,11659,Jun
6762,4671,12934,Sep
3594,2378,13533,Jan
5752,3932,13828,Mar
4679,2193,7352,May
6898,10455,9904,Apr
7649,11663,8311,Jan
4483,12207,10987,Oct
3783,6616,10889,Apr
5135,7014,13501,Apr
6587,9878,11976,Nov
6795,3300,2764,Dec
7609,5200,2110,Oct
3984,5373,10110,Apr
7683,10765,2286,Mar
3743,11729,4899,Jul
7545,3383,3982,Jan
7684,11572,7046,Feb
7356,5537,10569,Jan
6609,9924,11599,Apr
6272,13351,9071,May
5511,11715,7095,Nov
7011,6991,11992,Oct
3094,7202,1193,May
4376,14804,12268,Feb
4132,5932,12837,Nov
5517,5622,10139,Mar
7964,11087,11082,Apr
3091,13585,7525,Oct
4480,2464,2255,Jun
3955,9980,7533,Jun
5432,3610,8193,Dec
3023,10804,11776,Feb
4726,13404,10571,Feb
7119,2604,11501,Sep
6306,9967,1347,Dec
4722,2620,11663,Feb
4441,4602,4561,Feb
7671,12375,1695,Mar
5151,8473,10204,Sep
5548,5800,12594,Jun
7924,9098,5978,Nov
6555,8538,6832,Dec
3189,2155,8654,Jun
3460,10160,6148,Dec
5237,13545,3820,Oct
7447,14103,2957,May
3581,13109,12154,Jul
5162,8681,3950,Nov
7716,13309,8918,Apr
4532,4715,2307,Oct
4369,6339,13000,Oct
5435,10070,918,Mar
5992,8690,10567,Jul
5903,2449,3655,Oct
5531,14693,9610,Jan
3473,14153,7864,Jun
3859,3069,13564,Nov
5990,6017,12746,Nov
5441,13783,4318,Nov
6707,4819,12963,Feb
4713,4285,3131,Feb
3516,12227,4174,Nov
5394,11382,10037,Aug
4376,3399,5130,Mar
6670,13932,7368,Sep
5391,4248,6013,Apr
6263,12985,2329,Jun
7639,8375,10355,Jan
5867,2723,13111,Nov
4060,11633,8776,Oct
3757,7273,4312,Oct
6496,9535,1386,Mar
3188,6820,8094,Apr
5382,2086,12031,May
7579,9697,12899,Jan
5715,8846,11367,Apr
3296,6149,13736,May
6534,3751,3297,Apr
7141,7161,4647,Oct
7043,5420,2631,Oct
5043,6837,12386,Jul
7271,4483,3259,Aug
6052,5212,11470,Dec
4801,5922,9432,Aug
6905,12681,3376,Mar
6782,8310,13212,May
5262,8042,13832,Oct
4523,10013,10403,Aug
7854,11678,555,Jul
4421,5527,3862,Sep
7593,10264,11551,Oct
3105,10916,9498,Jul
6624,5754,3556,Feb
3479,10162,5250,Apr
3693,13187,9698,Dec
6039,6365,5503,Dec
5970,10410,8405,Aug
3194,2546,4603,Sep
4490,5729,6767,Jul
3059,9350,2281,May
4887,7884,13912,Jan
6610,3968,1489,Sep
7574,6516,12625,Dec
5581,3259,11856,Jun
4969,8992,8052,Feb
7688,9756,5699,Nov
7935,4933,3869,Oct
7054,4509,10770,Oct
7645,14200,877,Feb
6086,14264,2877,Oct
3221,14872,6545,Jan
3876,3562,781,Dec
6463,12277,13823,Apr
5726,11981,13426,Oct
4197,10075,3419,Nov
5710,5669,12856,Feb
5732,4481,7484,Oct
3336,13622,4094,Nov
3225,9198,2338,Sep
6942,2204,13124,Feb
7284,2741,7070,Nov
4248,13080,11584,Sep
5691,13686,8906,Jan
6958,9049,5230,Jul
7590,6263,13210,Jun
4887,9837,2620,Jun
3311,6737,12485,Feb
5569,3105,3370,Jan
4605,8830,1285,Oct
6983,12015,8273,Aug
3369,12839,1437,Aug
6547,6197,10381,Feb
7842,2088,12403,Apr
3998,8488,9948,Apr
3497,5381,3612,Feb
3964,14895,6932,Nov
5005,13703,7198,Sep
4199,12398,7937,Dec
5346,5185,5034,Apr
3577,8679,10029,Apr
6161,8306,6129,Apr
3054,14573,6671,May
6433,2864,8961,Oct
3229,10246,1990,Dec
3779,6671,6541,Dec
6831,12272,10813,Aug
3985,2557,10372,Apr
7469,11184,5269,Mar
3469,6291,6889,Nov
5468,2447,12545,Jan
4850,3821,9101,Feb
3532,5819,7141,Apr
6036,13164,10133,Sep
3562,2091,7655,Jan
3090,2607,10950,Jun
4407,11443,9483,Jun
7465,2285,5842,Oct
6146,4921,859,Mar
4293,13498,5177,Oct
7111,2101,5639,Sep
6782,5835,9114,Oct
7068,10169,8812,Mar
6506,6235,2720,Jan
5392,11870,4629,Feb
4219,14015,11657,Apr
4946,9509,8762,Apr
5253,8716,13332,Feb
6892,2534,13755,Oct
4675,8666,4192,Jun
3776,10207,5130,Jun
7782,10752,12421,Mar
6568,4925,8705,Jan
5766,12575,5925,Oct
3225,2909,4400,Sep
3064,11605,12311,Apr
4788,7008,8962,Sep
6851,2118,6392,May
4376,14254,11816,Jul
6535,5113,6113,Mar
6916,13252,10275,Mar
7453,8153,13250,Aug
3093,3491,1022,Jan
5743,4096,3317,Aug
4678,9944,5450,Aug
6667,4254,3339,Mar
6865,10705,8389,Jan
5482,8103,7991,Sep
7937,3233,8514,Apr
4402,7258,8191,Jul
4607,14324,942,Sep
6957,11671,6894,Mar
6410,7631,8502,May
6072,5349,10775,Oct
3898,11732,11619,Nov
5932,2129,9913,Mar
7588,5716,12141,May
6714,8754,11132,Nov
6132,5743,11054,Feb
4533,3771,13195,Apr
4978,6454,1394,Dec
4799,8770,12594,Feb
4352,13267,2753,Mar
4839,9250,2510,May
5561,7273,7357,Sep
5992,10697,5493,Mar
4664,7628,12882,Oct
5398,6913,5135,Jun
6204,11030,11907,Apr
7642,14063,8308,Apr
3599,6718,7497,Nov
5045,4676,13296,Oct
3259,2096,11252,Oct
7572,3963,11538,May
4906,7401,9737,Nov
6020,9767,5333,Jul
3388,13058,3434,Nov
6870,14218,9162,Apr
4862,2598,13071,Aug
6633,13173,871,Dec
3798,5963,12095,Sep
5504,10620,7498,Sep
7021,9293,1903,Sep
4926,13973,5102,Feb
6955,3324,4446,Mar
4628,12782,12767,May
7313,12606,13906,Dec
3789,10111,5173,Jan
5057,3767,13988,Apr
4064,7164,11212,Nov
7469,11708,1507,May
4448,3339,12038,Sep
3515,14286,1167,Aug
