customer_id,salary_deposits,total_expenses,risk_level
1001,5122,764,low
1002,10167,12880,high
1003,7190,10377,medium
1004,6575,1934,low
1005,9727,5827,low
1006,3797,5597,low
1007,4131,2160,low
1008,9322,12509,medium
1009,8500,6192,medium
1010,2815,2854,medium
1011,12886,8957,low
1012,10634,13433,high
1013,13332,6961,medium
1014,8666,9828,low
1015,2142,7544,low
1016,14479,5997,low
1017,3410,5049,low
1018,14665,6834,low
1019,2534,6510,low
1020,11908,13998,low
1021,5364,5426,medium
1022,3032,10082,low
1023,5342,9804,low
1024,11602,10926,low
1025,8085,11558,low
1026,6500,6565,medium
1027,3172,11760,low
1028,11080,2679,low
1029,13530,5467,low
1030,6517,1134,low
1031,10007,4131,medium
1032,3641,10091,low
1033,2471,13478,low
1034,4940,11431,high
1035,10738,11862,high
1036,6726,10557,medium
1037,13789,13845,low
1038,9670,10647,low
1039,13017,5177,medium
1040,5723,2718,low
1041,2363,1889,low
1042,12358,13571,low
1043,5309,11822,low
1044,2545,4776,high
1045,5240,12806,low
1046,8665,1749,medium
1047,14921,8140,low
1048,3936,11858,low
1049,11154,6212,low
1050,13197,1745,low
1051,13998,8745,high
1052,2882,11602,medium
1053,5840,11088,high
1054,8923,942,medium
1055,11062,7476,low
1056,6611,5175,high
1057,13177,12303,low
1058,11057,8453,low
1059,7204,4877,low
1060,14501,11099,low
1061,9288,7558,low
1062,5203,1322,low
1063,13089,12394,medium
1064,4244,3439,low
1065,2018,7596,low
1066,2641,6265,low
1067,5083,13428,low
1068,7200,1531,medium
1069,10521,10708,low
1070,2865,1062,high
1071,2773,11230,medium
1072,14679,840,low
1073,6732,5067,low
1074,12546,8362,medium
1075,13530,12467,medium
1076,5518,2796,medium
1077,13134,734,medium
1078,8795,5702,low
1079,8984,9808,low
1080,4567,10600,low
1081,3674,10109,medium
1082,12875,13611,medium
1083,13572,1791,low
1084,2739,12180,low
1085,3545,5227,low
1086,14756,12346,low
1087,12451,9220,medium
1088,11327,12016,medium
1089,7127,10672,medium
1090,8947,3439,low
1091,8620,5935,low
1092,11065,7481,medium
1093,6555,5892,medium
1094,12492,10021,low
1095,7645,8472,medium
1096,10943,1733,low
1097,9124,10445,low
1098,11045,3300,low
1099,5732,11625,low
1100,4283,11451,low
1101,11521,3275,low
1102,10669,6544,medium
1103,12918,3987,low
1104,13283,7883,low
1105,8998,4350,high
1106,14422,11219,low
1107,14697,5497,low
1108,7413,1390,medium
1109,3269,6420,low
1110,9868,10757,low
1111,14373,1688,low
1112,4603,6144,low
1113,7961,12989,high
1114,11661,1240,medium
1115,10569,1869,medium
1116,9557,10081,medium
1117,3680,2500,medium
1118,10433,1971,low
1119,11111,2036,medium
1120,7682,818,low
1121,10084,10956,medium
1122,7367,5653,medium
1123,2069,2394,low
1124,5924,12403,low
1125,8200,13511,low
1126,12278,11514,low
1127,4007,8491,medium
1128,10992,13200,medium
1129,10119,9967,low
1130,4779,11775,low
1131,6920,9092,low
1132,2755,6435,low
1133,8495,1223,low
1134,12187,2829,low
1135,7935,9827,high
1136,11513,3270,low
1137,4330,8045,low
1138,7705,5346,medium
1139,10301,767,low
1140,3016,1069,high
1141,9347,11248,high
1142,14057,2473,low
1143,10216,9237,low
1144,6938,3322,low
1145,4838,4960,low
1146,2737,13334,low
1147,8200,770,medium
1148,10371,8141,low
1149,2231,9430,low
1150,3917,7180,low
1151,10534,1757,high
1152,14764,8750,low
1153,7918,5870,low
1154,4623,12873,low
1155,10646,5358,high
1156,14576,9081,low
1157,8401,13991,medium
1158,14817,9410,medium
1159,9072,7499,low
1160,4276,12936,medium
1161,9393,13370,low
1162,10787,620,medium
1163,5874,7408,medium
1164,6530,11344,low
1165,9164,2803,low
1166,6497,5361,medium
1167,12861,3411,low
1168,9933,9491,low
1169,4135,12072,low
1170,8727,10798,low
1171,14156,13809,medium
1172,3565,7736,low
1173,2308,6065,low
1174,10534,7031,low
1175,10627,1609,medium
1176,10368,7429,low
1177,2138,1750,medium
1178,2193,11332,low
1179,5257,8677,high
1180,5235,2149,low
1181,2942,7851,low
1182,6620,6411,low
1183,14071,10037,high
1184,7720,3456,medium
