transaction_id,amount,transaction_type,merchant_category,time_of_day
2001,2185,Online,Travel,Evening
2002,3159,Online,Groceries,Afternoon
2003,1088,Online,Clothing,Morning
2004,3561,ATM Withdrawal,Groceries,Night
2005,2362,ATM Withdrawal,Cash,Night
2006,555,ATM Withdrawal,Travel,Afternoon
2007,1205,Online,Groceries,Morning
2008,2079,POS,Clothing,Evening
2009,3368,Online,Dining,Morning
2010,2448,ATM Withdrawal,Electronics,Night
2011,626,Bank Transfer,Travel,Morning
2012,4254,ATM Withdrawal,Travel,Morning
2013,3353,POS,Clothing,Night
2014,1821,Online,Dining,Night
2015,181,Bank Transfer,Dining,Evening
2016,4152,Bank Transfer,Electronics,Morning
2017,635,POS,Dining,Night
2018,4073,Online,Clothing,Afternoon
2019,2264,Bank Transfer,Cash,Night
2020,462,ATM Withdrawal,Dining,Evening
2021,1428,POS,Cash,Evening
2022,763,Bank Transfer,Cash,Afternoon
2023,3382,POS,Clothing,Evening
2024,2733,Online,Travel,Morning
2025,3020,Online,Travel,Evening
2026,2921,Online,Travel,Afternoon
2027,1235,ATM Withdrawal,Groceries,Evening
2028,177,Bank Transfer,Travel,Afternoon
2029,3695,Online,Clothing,Evening
2030,95,ATM Withdrawal,Electronics,Night
2031,1687,Online,Dining,Afternoon
2032,1992,Online,Travel,Evening
2033,4954,Bank Transfer,Groceries,Morning
2034,1496,ATM Withdrawal,Cash,Afternoon
2035,451,Online,Groceries,Afternoon
2036,280,ATM Withdrawal,Clothing,Evening
2037,353,ATM Withdrawal,Electronics,Night
2038,1216,Online,Travel,Night
2039,3091,Online,Travel,Evening
2040,1267,POS,Groceries,Evening
2041,2301,Bank Transfer,Clothing,Morning
2042,1542,Online,Groceries,Evening
2043,3432,POS,Groceries,Afternoon
2044,4372,Bank Transfer,Electronics,Evening
2045,1663,Online,Clothing,Morning
2046,4998,ATM Withdrawal,Electronics,Evening
2047,248,Bank Transfer,Clothing,Evening
2048,924,ATM Withdrawal,Travel,Afternoon
2049,1448,POS,Dining,Night
2050,3026,Online,Cash,Evening
2051,1470,POS,Dining,Morning
2052,3089,Online,Clothing,Evening
2053,2268,Online,Dining,Evening
2054,376,ATM Withdrawal,Groceries,Afternoon
2055,3001,POS,Travel,Night
2056,3751,ATM Withdrawal,Cash,Night
2057,95,ATM Withdrawal,Cash,Night
2058,2503,ATM Withdrawal,Cash,Evening
2059,4725,POS,Travel,Afternoon
2060,141,Online,Dining,Afternoon
2061,913,Online,Cash,Evening
2062,3466,POS,Cash,Afternoon
2063,1231,Online,Clothing,Night
2064,1773,POS,Groceries,Afternoon
